code,ir_bo,ir_rd,p_value,params
600095.XSHG,2.042359734053155,0.29780716752250597,0.004,"{'A1': 22.24221149846652, 'A2': 45.49493814727358, 'A3': 104.0914211550502, 'y1': 0.3, 'y2': -0.005}"
600796.XSHG,-3.1291524900510566,0.19397438619327345,1.0,"{'A1': 29.700153603391826, 'A2': 31.601903715394936, 'A3': 112.49153187529248, 'y1': 0.007940467574381342, 'y2': -0.07119324562942445}"
600790.XSHG,2.6468707253004746,0.2691735041329907,0.0,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.2}"
600654.XSHG,0.11899412471432702,0.44040788499468353,0.688,"{'A1': 2.228248341884701, 'A2': 34.07653855926273, 'A3': 90.91421066872624, 'y1': 0.13050076905124589, 'y2': -0.08982481092385616}"
600651.XSHG,0.34258154361249027,0.3331885484679902,0.505,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
600650.XSHG,-0.4308019326193071,0.26520043454417735,0.857,"{'A1': 2.770157843063934, 'A2': 35.58780634133013, 'A3': 91.10046543387429, 'y1': 0.12204640489804763, 'y2': -0.0949307368693454}"
600652.XSHG,1.2358285706163177,0.0,0.0,"{'A1': 7.157291129708979, 'A2': 30.0, 'A3': 150.0, 'y1': 0.005, 'y2': -0.2}"
000532.XSHE,0.29101296478785926,0.14686609641645956,0.41,"{'A1': 11.537943283301594, 'A2': 45.968973287379384, 'A3': 62.762752072378014, 'y1': 0.04442354689011906, 'y2': -0.18795307334949626}"
000533.XSHE,-0.42167154164079446,0.4447134506145534,0.892,"{'A1': 29.933216819168482, 'A2': 40.55743688566298, 'A3': 108.8078404485972, 'y1': 0.06938139420188355, 'y2': -0.06926596539764532}"
000530.XSHE,-0.34579315488300066,0.3495580494849811,0.836,"{'A1': 30.0, 'A2': 60.0, 'A3': 137.38425954089658, 'y1': 0.10778896204660955, 'y2': -0.13665070667467055}"
000531.XSHE,-0.683800245703276,0.2793503457992354,0.909,"{'A1': 14.36616944201676, 'A2': 54.016853791702026, 'A3': 60.0, 'y1': 0.005, 'y2': -0.2}"
600071.XSHG,1.960358479020011,0.24584477893562304,0.0,"{'A1': 10.918074078704176, 'A2': 60.0, 'A3': 146.25699972466163, 'y1': 0.005, 'y2': -0.2}"
000537.XSHE,-0.41853416144004824,0.0,1.0,"{'A1': 10.276898267985759, 'A2': 30.0, 'A3': 78.64806348981314, 'y1': 0.005, 'y2': -0.005}"
600073.XSHG,0.6683160109034351,0.39890698754523646,0.364,"{'A1': 3.754295371622295, 'A2': 36.92272510007169, 'A3': 80.4192167420576, 'y1': 0.050771952534570834, 'y2': -0.07300276084274447}"
000520.XSHE,-0.9268195340712131,0.14236948337939412,0.942,"{'A1': 11.265555806292053, 'A2': 56.98947529177573, 'A3': 137.09983207906453, 'y1': 0.08312990393282645, 'y2': -0.13033633848459095}"
000926.XSHE,0.8761491244218722,0.15670742539721,0.191,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
600079.XSHG,-0.4237074621488522,0.7174760936605165,0.946,"{'A1': 24.787983816499093, 'A2': 52.42203484033085, 'A3': 83.39216692968742, 'y1': 0.20074322554065788, 'y2': -0.07646989156454827}"
600078.XSHG,-0.8330406961241749,0.14776110478722754,0.934,"{'A1': 18.615360197807956, 'A2': 45.728438401983695, 'A3': 64.96941565817094, 'y1': 0.2824363861657162, 'y2': -0.1467980589728585}"
002027.XSHE,0.9282636375894318,0.10101959309556943,0.0,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
002022.XSHE,-0.7463399630690442,0.045699025472397695,0.85,"{'A1': 16.513318730495744, 'A2': 36.4215442231014, 'A3': 148.44000987777758, 'y1': 0.13077475739368438, 'y2': -0.03911546165540397}"
600987.XSHG,0.20890736158986956,0.4947200686437095,0.673,"{'A1': 6.5090809078060206, 'A2': 31.436602524810773, 'A3': 86.99923944184144, 'y1': 0.036302850310404776, 'y2': -0.16930819995408325}"
600981.XSHG,-1.132247223140201,0.3273762662890129,0.982,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
002028.XSHE,0.010399974085616133,0.26750145970354794,0.652,"{'A1': 2.770157843063934, 'A2': 35.58780634133013, 'A3': 91.10046543387429, 'y1': 0.12204640489804763, 'y2': -0.0949307368693454}"
600387.XSHG,1.059860314067075,0.2606890544945696,0.135,"{'A1': 11.842362978941534, 'A2': 38.93806844776613, 'A3': 89.51826782901573, 'y1': 0.005, 'y2': -0.2}"
600382.XSHG,-0.7651749256405082,0.3459794092581485,0.952,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
000905.XSHE,-0.7191017074766194,0.20103433515558372,0.919,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
600388.XSHG,1.7817408379435618,0.1841973852569801,0.003,"{'A1': 10.740139784703498, 'A2': 30.0, 'A3': 94.56561226389711, 'y1': 0.005, 'y2': -0.2}"
000910.XSHE,-0.017418138166189236,0.12727454224491988,0.571,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
600573.XSHG,-1.2469759486647254,0.47296008377858245,0.997,"{'A1': 6.649997539787201, 'A2': 35.78460548267065, 'A3': 88.09234776477217, 'y1': 0.1531053772747773, 'y2': -0.08475986223917621}"
600360.XSHG,0.24900608586285417,0.3067561406437747,0.541,"{'A1': 5.824235648546366, 'A2': 47.58183239914967, 'A3': 60.0, 'y1': 0.005, 'y2': -0.2}"
600578.XSHG,1.7594210654337399,0.1845897146180114,0.008,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
000903.XSHE,1.900794792143409,0.09813331922712899,0.0,"{'A1': 13.79176332544042, 'A2': 60.0, 'A3': 100.52846087323033, 'y1': 0.005, 'y2': -0.2}"
600475.XSHG,-0.2463733311445628,0.2329166200159952,0.748,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
600298.XSHG,0.896730417250299,1.0960831601856944,0.634,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.2}"
600206.XSHG,0.1345376895869846,0.28210654223942844,0.577,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
600202.XSHG,1.8944486265111744,0.14063884373344349,0.004,"{'A1': 22.085364098321122, 'A2': 50.71381009492539, 'A3': 68.62780058870018, 'y1': 0.20401428363512286, 'y2': -0.0728840697325786}"
600420.XSHG,-0.514886675060006,0.2925759005715997,0.878,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
600201.XSHG,2.689693428282285,0.0,0.0,"{'A1': 16.99880755938301, 'A2': 60.0, 'A3': 134.63015871810782, 'y1': 0.005, 'y2': -0.2}"
000990.XSHE,-0.034430760048023444,0.25716740989814035,0.665,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.2}"
600367.XSHG,-1.9028782305810032,0.3728647604949575,1.0,"{'A1': 11.654326207281999, 'A2': 57.772566179297044, 'A3': 136.389046218571, 'y1': 0.17802751476676776, 'y2': -0.15721962992550037}"
000997.XSHE,2.0835346476598655,0.30857644902115844,0.001,"{'A1': 16.844252730710316, 'A2': 30.0, 'A3': 110.20292146553943, 'y1': 0.3, 'y2': -0.005}"
000998.XSHE,-0.02240880831166297,0.06133332471102564,0.565,"{'A1': 9.986751625631932, 'A2': 53.10540432564832, 'A3': 76.60831150097276, 'y1': 0.005, 'y2': -0.005}"
600897.XSHG,-2.0764473317232017,0.1342117407682527,1.0,"{'A1': 16.88222034751404, 'A2': 50.61856294656762, 'A3': 131.45382538828883, 'y1': 0.005, 'y2': -0.005}"
600896.XSHG,1.3032949502253246,0.07658291132891908,0.0,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
601008.XSHG,-0.9686918237733949,0.09188731737381335,0.938,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
600358.XSHG,2.559018332151331,0.07865097119151224,0.0,"{'A1': 7.979056056724275, 'A2': 33.984638786090144, 'A3': 140.54143035556768, 'y1': 0.005, 'y2': -0.2}"
600894.XSHG,1.0878204692311164,0.33955541028422626,0.15,"{'A1': 19.973028808877242, 'A2': 45.75805190390831, 'A3': 97.92061230710107, 'y1': 0.17377518245402793, 'y2': -0.13689835307345116}"
601007.XSHG,1.5245787013918957,0.1163012257561113,0.0,"{'A1': 15.860380357901693, 'A2': 30.0, 'A3': 145.85087595292708, 'y1': 0.005, 'y2': -0.2}"
600290.XSHG,0.0,0.0,0.0,"{'A1': 12.426767759487925, 'A2': 60.0, 'A3': 104.33710909694709, 'y1': 0.005, 'y2': -0.2}"
600277.XSHG,-3.0531386983897724,0.24796006067421866,1.0,"{'A1': 30.0, 'A2': 52.63171738745686, 'A3': 120.58940081209794, 'y1': 0.005, 'y2': -0.2}"
600279.XSHG,0.2879515551094286,0.45257583773710847,0.606,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.2}"
600278.XSHG,-2.1715912372674024,0.1523550941777778,1.0,"{'A1': 30.0, 'A2': 34.71598762257818, 'A3': 150.0, 'y1': 0.005, 'y2': -0.2}"
